code,term
230690007,GNH0006_IschaemicStroke
230690007,GNH0006_IschaemicStroke
230690007,GNH0006_IschaemicStroke
230690007,GNH0006_IschaemicStroke
230690007,GNH0006_IschaemicStroke
230691006,GNH0006_IschaemicStroke
230691006,GNH0006_IschaemicStroke
307766002,GNH0006_IschaemicStroke
307767006,GNH0006_IschaemicStroke
413102000,GNH0006_IschaemicStroke
432504007,GNH0006_IschaemicStroke
432504007,GNH0006_IschaemicStroke
432504007,GNH0006_IschaemicStroke
44054006,GNH0007_Type2Diabetes
44054006,GNH0007_Type2Diabetes
44054006,GNH0007_Type2Diabetes
44054006,GNH0007_Type2Diabetes
237599002,GNH0007_Type2Diabetes
313436004,GNH0007_Type2Diabetes
313436004,GNH0007_Type2Diabetes
313436004,GNH0007_Type2Diabetes
422099009,GNH0007_Type2Diabetes
703138006,GNH0007_Type2Diabetes
77075001,GNH0008_PrimaryOpenAngleGlaucoma
63088003,GNH0009_Asthma
63088003,GNH0009_Asthma
195949008,GNH0009_Asthma
195967001,GNH0009_Asthma
195967001,GNH0009_Asthma
195967001,GNH0009_Asthma
195967001,GNH0009_Asthma
195977004,GNH0009_Asthma
233678006,GNH0009_Asthma
233679003,GNH0009_Asthma
233679003,GNH0009_Asthma
233683003,GNH0009_Asthma
233683003,GNH0009_Asthma
266361008,GNH0009_Asthma
370218001,GNH0009_Asthma
370221004,GNH0009_Asthma
389145006,GNH0009_Asthma
389145006,GNH0009_Asthma
389145006,GNH0009_Asthma
389145006,GNH0009_Asthma
405944004,GNH0009_Asthma
405944004,GNH0009_Asthma
424643009,GNH0009_Asthma
708038006,GNH0009_Asthma
708038006,GNH0009_Asthma
708090002,GNH0009_Asthma
734904007,GNH0009_Asthma
1.0867E+15,GNH0009_Asthma
24595009,GNH0010_Gout
48440001,GNH0010_Gout
48440001,GNH0010_Gout
48440001,GNH0010_Gout
90560007,GNH0010_Gout
90560007,GNH0010_Gout
190842000,GNH0010_Gout
201666003,GNH0010_Gout
201669005,GNH0010_Gout
201669005,GNH0010_Gout
428839004,GNH0010_Gout
9.24311E+14,GNH0010_Gout
13645005,GNH0011_COPD
63480004,GNH0011_COPD
87433001,GNH0011_COPD
195951007,GNH0011_COPD
313296004,GNH0011_COPD
313297008,GNH0011_COPD
313299006,GNH0011_COPD
2.93991E+14,GNH0011_COPD
8.47091E+14,GNH0011_COPD
20059004,GNH0012_Stroke
64009001,GNH0012_Stroke
71444005,GNH0012_Stroke
88032003,GNH0012_Stroke
195200006,GNH0012_Stroke
195212005,GNH0012_Stroke
195216008,GNH0012_Stroke
195217004,GNH0012_Stroke
195229008,GNH0012_Stroke
195230003,GNH0012_Stroke
195233001,GNH0012_Stroke
230690007,GNH0012_Stroke
230691006,GNH0012_Stroke
230698000,GNH0012_Stroke
307766002,GNH0012_Stroke
307767006,GNH0012_Stroke
413102000,GNH0012_Stroke
432504007,GNH0012_Stroke
10633002,GNH0013_HeartFailure
42343007,GNH0013_HeartFailure
42343007,GNH0013_HeartFailure
43736008,GNH0013_HeartFailure
48447003,GNH0013_HeartFailure
56675007,GNH0013_HeartFailure
79955004,GNH0013_HeartFailure
84114007,GNH0013_HeartFailure
84114007,GNH0013_HeartFailure
84114007,GNH0013_HeartFailure
85232009,GNH0013_HeartFailure
85232009,GNH0013_HeartFailure
92506005,GNH0013_HeartFailure
128404006,GNH0013_HeartFailure
195111005,GNH0013_HeartFailure
195114002,GNH0013_HeartFailure
367363000,GNH0013_HeartFailure
418304008,GNH0013_HeartFailure
420913000,GNH0013_HeartFailure
421704003,GNH0013_HeartFailure
426263006,GNH0013_HeartFailure
51615001,GNH0014_IdiopathicPulmonaryFibrosis
90117007,GNH0014_IdiopathicPulmonaryFibrosis
162974009,GNH0014_IdiopathicPulmonaryFibrosis
196125002,GNH0014_IdiopathicPulmonaryFibrosis
50846009,GNH0015_AcuteAppendicitis
85189001,GNH0015_AcuteAppendicitis
85189001,GNH0015_AcuteAppendicitis
196781001,GNH0015_AcuteAppendicitis
266439004,GNH0015_AcuteAppendicitis
